route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4380_78134,7778020,317A,Limerick - Ennis,,3,,,
4380_78135,7778020,305A,CC - St.Marys Park - CC,,3,,,
4380_78136,7778020,202A,Ringmahon - City - Hollyhill (Apple),,3,,,
4380_78137,7778020,225L,Carrigaline - NMCI,,3,,,
4380_78138,7778020,425A,Galway - Monivea - Mountbellew,,3,,,
4380_78139,7778020,360A,Waterford - WIT - Tramore,,3,,,
4380_78140,7778020,279A,Waterville - Caherciveen - Killarney,,3,,,
4380_78141,7778020,103X,Dublin - Ashbourne - Duleek - Navan,,3,,,
4380_78142,7778020,105X,UCD - M3 - Ratoath - Ashbourne,,3,,,
4380_78143,7778020,220X,Ovens - Carrigaline - Crosshaven,,3,,,
4380_78144,7778020,101X,Wilton Tce - Drogheda - Termon Abbey,,3,,,
4380_78145,7778020,109B,Dublin - Dunshaughlin - Trim,,3,,,
4380_78146,7778020,245X,Busaras - Fermoy - Cork,,3,,,
4380_78147,7778020,109X,Dublin - Kells - Cavan Hourly Express,,3,,,
4380_78148,7778020,111A,Delvin - Granard - Cavan,,3,,,
4380_78149,7778020,111X,Dublin express - Athboy - Clonmellon,,3,,,
4380_78150,7778020,X30,Dublin - Donegal Express,,3,,,
4380_78151,7778020,223X,South Mall - Haulbowline,,3,,,
4380_78152,7778020,X32,Dublin - Letterkenny,,3,,,
4380_78153,7778020,A1,Bellanamulla - Station - Creggan,,3,,,
4380_78154,7778020,A2,Bellanamulla - Station - Creggan,,3,,,
4380_78155,7778020,304A,Raheen - Bus Station - UL,,3,,,
4380_78156,7778020,NX,Dublin Wilton Terrace - Navan,,3,,,
